Категория,Артикул,Наименование,Цена
/Сад и огород/Ящики и сетки для овощей/Мешки хозяйственные и сетки тарные/,52991,Мешок-вкладыш 240л для бочки 150мкм прозрачный Ангарск,48
/Сад и огород/Ящики и сетки для овощей/Мешки хозяйственные и сетки тарные/,52993,Мешок-вкладыш 250л для бочки 150мкм голубой Ангарск,50
/Сад и огород/Ящики и сетки для овощей/Мешки хозяйственные и сетки тарные/,13330,Сетка тарная для овощей (35х60см) (до 15кг),7
/Сад и огород/Ящики и сетки для овощей/Мешки хозяйственные и сетки тарные/,94526,Сетка тарная для овощей (40х60см) (до 20кг),7
/Сад и огород/Ящики и сетки для овощей/Мешки хозяйственные и сетки тарные/,5051,Сетка тарная для овощей (45х75см) (38-40кг),10
/Сад и огород/Ящики и сетки для овощей/Ящики/,48718,Емкость для овощей набор из 2х шт,335
/Сад и огород/Ящики и сетки для овощей/Ящики/,32171,Ящик для овощей сетчатый 20л пищевой (520*320*160) Альт...,151
/Сад и огород/Ящики и сетки для овощей/Ящики/,32172,Ящик для овощей сетчатый 20л пищевой (600*400*190) Альт...,232
/Сад и огород/Ящики и сетки для овощей/Ящики/,32173,Ящик для овощей сетчатый 45л пищевой (510*345*300) Альт...,278
/Сад и огород/Ящики и сетки для овощей/Ящики/,32174,Ящик для овощей сетчатый 45л пищевой (510*345*300) спло...,266
/Сад и огород/Ящики и сетки для овощей/Ящики/,6362,Ящик для овощей сетчатый пластмассовый (370*260*150мм) ...,128
/Сад и огород/Ящики и сетки для овощей/Ящики/,36212,"Ящик пластмассовый 18л сетчатый, разборный с ручками",176
